asset_path,asset_type,species_or_form,sha256,source_repository,source_commit,upstream_credit_entry,duplicate_group,status,notes
.upstream/cfru/assembly/followingmon_normal_pals.s,palette,UNRESOLVED,0bb7ffba3b7c75c9d37006e1af515736753d9a246756b7bebb7abed1a93a650b,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/assembly/followingmon_shiny_pals.s,palette,UNRESOLVED,a71a216726bf12d0a74256c25815579cf04f06eea6b6b1903871030e2706e840,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/assembly/hooks/dynamic_ow_pal_hooks.s,palette,UNRESOLVED,9eade12d0ae87dc11722a4f8ca699fbb51b040dfda97c96784b4d90e8fe7efb5,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/assembly/mon_icons.s,icon,UNRESOLVED,5119e174caa438a185c281f36166561a773a846a84327b865b791dae2dc2553b,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/assembly/overworld_scripts/Pallet_town.s,palette,UNRESOLVED,0b35d0b640eeb1fcd4f8d1e700ff9bcc949810141cd31523bf313e6f3867c4dc,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/build/follower_mon_sprites.bin,sprite,UNRESOLVED,f1e536a8484d7067a4ef49a462d0efbb0ffdc362b5f20fd7bebd45e64534cda9,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/build/follower_mon_sprites.o,sprite,UNRESOLVED,b10bc1174d00a7e0ba2dc0862378b633c82bc0e7788176e9e5a36a30934cbd0f,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/build/follower_mon_sprites.offset,sprite,UNRESOLVED,d67844b19ef6d85714e6c29c4a83178774927f54f1999be1aefabd9d1d5aaa17,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/build/follower_mon_sprites.s,sprite,UNRESOLVED,7a20e80be43a682f22bd7a35f09881cc54b40d36282edf481a8269bca721cb37,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/deps/libiconv-2.dll,icon,UNRESOLVED,cf54a8504f2dbdd7bea3acdcd065608d21f5c06924baf647955cc28b8637ae68,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/deps/picasso.exe,sprite,UNRESOLVED,def04f714fc599d9b2fc11f03dd96a9baddc935910fa57b4feed7b7e088d2a98,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0001_Bulbasaur.png,sprite,UNRESOLVED,c5cae98b548fdf40fd948917fc6ad1fdc1ed44a246cf0fa41bc62f810bfb776d,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0002_Ivysaur.png,sprite,UNRESOLVED,99049367947dcf3fd54943231d39cb99958e80947622a537d877746ace5c67fe,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0003_Venusaur.png,sprite,UNRESOLVED,c07bb32c2a9ba8ce3dcda943b94b855236723a48ba2586e0b6a6574bb3430c24,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0004_Charmander.png,sprite,UNRESOLVED,df276ee797007cf9acd73ea2c93b26f3b534dccb891eea11118980262d48feeb,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0005_Charmeleon.png,sprite,UNRESOLVED,38460968f2b9393b74476a9be00a774ea2af222d3bd8ddf64bf5589558b487f8,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0006_Charizard.png,sprite,UNRESOLVED,e71a38dfce3ff002eea6433b9f12dd764783591e8e323df4c9b1b0ec12a8144a,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0007_Squirtle.png,sprite,UNRESOLVED,a1a2ba01f583b444e110a0649a25aa5aa18179ab9e346e0fb7dc77c9fee827ff,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0008_Wartortle.png,sprite,UNRESOLVED,ef8e899680f072aa1ebd2567389591c03beb157de20ea26c96014aca91a41036,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0009_Blastoise.png,sprite,UNRESOLVED,3254e2365b3e98177d02673a0877ccbd641184a981c68be14720480d91008315,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0010_Caterpie.png,sprite,UNRESOLVED,87e0dd06a5fbdac89d4a1b349e6ad7a079598c24400561ccb1512f507427fcfd,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0011_Metapod.png,sprite,UNRESOLVED,f1ebcebc6b5eeb23eff31cf4515e54bcdedf7233f3f224f5c8eba0bf0182f217,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0012_Butterfree.png,sprite,UNRESOLVED,be5166ede2e4dc35edaac324027595d94b914ec8b33ee792e881921d257d5773,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0013_Weedle.png,sprite,UNRESOLVED,2ff76e432a49016e333cd4ab8eace9f1b979d138349a70209d5d37e6ede6d5fe,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0014_Kakuna.png,sprite,UNRESOLVED,c365ef1544bfb46368cdc2a9f899537cdbc9064cce92d9209177f11b0d6d1342,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0015_Beedrill.png,sprite,UNRESOLVED,326340cef8b37eb676612b2ed8df225fbf88c3754af04f0eb8d0a290f3dc9655,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0016_Pidgey.png,sprite,UNRESOLVED,d180d491085f3f2f932a1ae9daa77d489a7f58b591e7323ced0e55f549d5701a,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0017_Pidgeotto.png,sprite,UNRESOLVED,61a6b2b2543cb59072ec75fae7b03db1543e0b015128d2dbc74394ef0592c51b,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0018_Pidgeot.png,sprite,UNRESOLVED,f51a8286b9a6ee39d2afce7221116faf1d319170eee1df46e94b20e27326fb1b,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0019_Rattata.png,sprite,UNRESOLVED,4c0679ae5d466971e8246bcf32f7b146e9a4b462e221d3896cf3fb22c91cbd8f,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0020_Raticate.png,sprite,UNRESOLVED,c22406fa92ef6338f8502980cd3bd521fa155ee8cb2a536107621d4e20972527,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0021_Spearow.png,sprite,UNRESOLVED,61a3547ed89a81f74824ff41ea99c2b9cb23ae2cd46ec608194c4310870523da,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0022_Fearow.png,sprite,UNRESOLVED,b905e11f471473605a68ce943d5da3a58aa69644a466cb0cd4f96eff2dd41bcb,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0023_Ekans.png,sprite,UNRESOLVED,798f77ec68b79ec408043cfcaaa2fd6fa428491b3eb1f401a3fab662e4c6115e,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0024_Arbok.png,sprite,UNRESOLVED,47a8a11ab08f562c671dcd602fd1aca4439ba1979a9f2f976db5494cbe0c7093,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0025_Pikachu.png,sprite,UNRESOLVED,17d94df072580d6587915adfce33d6e2d2c094faec9e2e77d2315543ae01d81c,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0026_Raichu.png,sprite,UNRESOLVED,d5c76ad5ada0599f07f737172549ef7eea2f329c49886f54e879fc7b114c3c09,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0027_Sandshrew.png,sprite,UNRESOLVED,dc837d7788acf5e143ee7bf0c274c109fc7826e7eddbe3cd36df5b24f7244b8b,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0028_Sandslash.png,sprite,UNRESOLVED,a6aabab1cdd4b689c0818d3929999552562d68e15aee36e39a2374e93dc1e41d,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
.upstream/cfru/follower_mon_sprites/gFollowingMonPic_0029_Nidoran_F.png,sprite,UNRESOLVED,0863e0542a4b3e38e760f86188ecdedfc523cb8d0097bc4a9ac9ccbfc9412cec,local pinned upstream,see build-lock.json,upstream repository credits,,PROVENANCE_UNKNOWN,requires visual/contact-sheet review
